id,lei,period,template_code,table_title,row_id,row_label,raw_label,amount,eba_item_id,is_new_metric,source_page,created_at,bank_name,dimension_name
85544,NLPK02SGC0U1AABDLL56,2025-06-30,KM1,KM1,1,Common Equity Tier 1 (CET1) capital,Blueprint Parser,4921.0,,0,28,2026-01-13 05:58:53,Alpha Bank,Default
85545,NLPK02SGC0U1AABDLL56,2025-06-30,KM1,KM1,10,Global Systemically Important Institution buffer (%),Blueprint Parser,0.0,,0,28,2026-01-13 05:58:53,Alpha Bank,Default
85546,NLPK02SGC0U1AABDLL56,2025-06-30,KM1,KM1,11,Combined buffer requirement (%),Blueprint Parser,0.0371,,0,28,2026-01-13 05:58:53,Alpha Bank,Default
85547,NLPK02SGC0U1AABDLL56,2025-06-30,KM1,KM1,12,CET1 available after meeting the total SREP own funds requirements (%),Blueprint Parser,0.0989,,0,28,2026-01-13 05:58:53,Alpha Bank,Default
85548,NLPK02SGC0U1AABDLL56,2025-06-30,KM1,KM1,13,Total exposure measure,Blueprint Parser,74581.0,,0,28,2026-01-13 05:58:53,Alpha Bank,Default
85549,NLPK02SGC0U1AABDLL56,2025-06-30,KM1,KM1,15,Total high-quality liquid assets (HQLA) (Weighted value -average),Blueprint Parser,16156.0,,0,29,2026-01-13 05:58:53,Alpha Bank,Default
85550,NLPK02SGC0U1AABDLL56,2025-06-30,KM1,KM1,16,Total net cash outflows (adjusted value),Blueprint Parser,8379.0,,0,29,2026-01-13 05:58:53,Alpha Bank,Default
85551,NLPK02SGC0U1AABDLL56,2025-06-30,KM1,KM1,17,Liquidity coverage ratio (%),Blueprint Parser,0.0194,,0,29,2026-01-13 05:58:53,Alpha Bank,Default
85552,NLPK02SGC0U1AABDLL56,2025-06-30,KM1,KM1,18,Total available stable funding,Blueprint Parser,53200.0,,0,29,2026-01-13 05:58:53,Alpha Bank,Default
85553,NLPK02SGC0U1AABDLL56,2025-06-30,KM1,KM1,19,Total required stable funding,Blueprint Parser,0.0123,,0,29,2026-01-13 05:58:53,Alpha Bank,Default
85554,NLPK02SGC0U1AABDLL56,2025-06-30,KM1,KM1,2,Tier 1 capital,Blueprint Parser,5621.0,,0,28,2026-01-13 05:58:53,Alpha Bank,Default
85555,NLPK02SGC0U1AABDLL56,2025-06-30,KM1,KM1,20,NSFR ratio (%),Blueprint Parser,0.0123,,0,29,2026-01-13 05:58:53,Alpha Bank,Default
85556,NLPK02SGC0U1AABDLL56,2025-06-30,KM1,KM1,3,Total capital,Blueprint Parser,311.0,,0,28,2026-01-13 05:58:53,Alpha Bank,Default
85557,NLPK02SGC0U1AABDLL56,2025-06-30,KM1,KM1,4,Total risk exposure amount,Blueprint Parser,30604.0,,0,28,2026-01-13 05:58:53,Alpha Bank,Default
85558,NLPK02SGC0U1AABDLL56,2025-06-30,KM1,KM1,4a,Total risk exposure pre-floor,Blueprint Parser,30604.0,,0,28,2026-01-13 05:58:53,Alpha Bank,Default
85559,NLPK02SGC0U1AABDLL56,2025-06-30,KM1,KM1,5,Common Equity Tier 1 ratio (%),Blueprint Parser,0.16079999999999997,,0,28,2026-01-13 05:58:53,Alpha Bank,Default
85560,NLPK02SGC0U1AABDLL56,2025-06-30,KM1,KM1,5b,Common Equity Tier 1 ratio considering unfloored TREA (%),Blueprint Parser,0.16079999999999997,,0,28,2026-01-13 05:58:53,Alpha Bank,Default
85561,NLPK02SGC0U1AABDLL56,2025-06-30,KM1,KM1,6,Tier 1 ratio (%),Blueprint Parser,0.1837,,0,28,2026-01-13 05:58:53,Alpha Bank,Default
85562,NLPK02SGC0U1AABDLL56,2025-06-30,KM1,KM1,6b,Tier 1 ratio considering unfloored TREA (%),Blueprint Parser,0.1837,,0,28,2026-01-13 05:58:53,Alpha Bank,Default
85563,NLPK02SGC0U1AABDLL56,2025-06-30,KM1,KM1,7,Total capital ratio (%),Blueprint Parser,0.2169,,0,28,2026-01-13 05:58:53,Alpha Bank,Default
85564,NLPK02SGC0U1AABDLL56,2025-06-30,KM1,KM1,7b,Total capital ratio considering unfloored TREA (%),Blueprint Parser,0.2169,,0,28,2026-01-13 05:58:53,Alpha Bank,Default
85565,NLPK02SGC0U1AABDLL56,2025-06-30,KM1,KM1,8,Capital conservation buffer (%),Blueprint Parser,0.025,,0,28,2026-01-13 05:58:53,Alpha Bank,Default
85566,NLPK02SGC0U1AABDLL56,2025-06-30,KM1,KM1,9,Institution specific countercyclical capital buffer (%),Blueprint Parser,0.0021,,0,28,2026-01-13 05:58:53,Alpha Bank,Default
85567,NLPK02SGC0U1AABDLL56,2025-06-30,KM1,KM1,EU 11a,Overall capital requirements (%),Blueprint Parser,0.1471,,0,28,2026-01-13 05:58:53,Alpha Bank,Default
85568,NLPK02SGC0U1AABDLL56,2025-06-30,KM1,KM1,EU 14c,Total SREP leverage ratio requirements (%),Blueprint Parser,0.03,,0,29,2026-01-13 05:58:53,Alpha Bank,Default
85569,NLPK02SGC0U1AABDLL56,2025-06-30,KM1,KM1,EU 14d,Leverage ratio buffer requirement (%),Blueprint Parser,0.0,,0,29,2026-01-13 05:58:53,Alpha Bank,Default
85570,NLPK02SGC0U1AABDLL56,2025-06-30,KM1,KM1,EU 16a,Cash outflows - Total weighted value,Blueprint Parser,9323.0,,0,29,2026-01-13 05:58:53,Alpha Bank,Default
85571,NLPK02SGC0U1AABDLL56,2025-06-30,KM1,KM1,EU 16b,Cash inflows - Total weighted value,Blueprint Parser,944.0,,0,29,2026-01-13 05:58:53,Alpha Bank,Default
85572,NLPK02SGC0U1AABDLL56,2025-06-30,KM1,KM1,EU 7d,Additional own funds requirements to address risks other than the risk of excessive leverage (%),Blueprint Parser,0.03,,0,28,2026-01-13 05:58:53,Alpha Bank,Default
85573,NLPK02SGC0U1AABDLL56,2025-06-30,KM1,KM1,EU 7e,of which: to be made up of CET1 capital (percentage points),Blueprint Parser,0.0169,,0,28,2026-01-13 05:58:53,Alpha Bank,Default
85574,NLPK02SGC0U1AABDLL56,2025-06-30,KM1,KM1,EU 7f,of which: to be made up of Tier 1 capital (percentage points),Blueprint Parser,5621.0,,0,28,2026-01-13 05:58:53,Alpha Bank,Default
85575,NLPK02SGC0U1AABDLL56,2025-06-30,KM1,KM1,EU 7g,Total SREP own funds requirements (%),Blueprint Parser,0.11,,0,28,2026-01-13 05:58:53,Alpha Bank,Default
85576,NLPK02SGC0U1AABDLL56,2025-06-30,KM1,KM1,EU 8a,Conservation buffer due to macro-prudential or systemic risk identified at the level of a Member State (%),Blueprint Parser,0.0,,0,28,2026-01-13 05:58:53,Alpha Bank,Default
85577,NLPK02SGC0U1AABDLL56,2025-06-30,KM1,KM1,EU 9a,Systemic risk buffer (%),Blueprint Parser,0.0,,0,28,2026-01-13 05:58:53,Alpha Bank,Default
85578,NLPK02SGC0U1AABDLL56,2025-06-30,OV1,OV1,1,Credit risk (excluding CCR),Blueprint Parser,25595.0,,0,34,2026-01-13 05:58:54,Alpha Bank,Default
85579,NLPK02SGC0U1AABDLL56,2025-06-30,OV1,OV1,15,Settlement risk,Blueprint Parser,661.0,,0,34,2026-01-13 05:58:54,Alpha Bank,Default
85580,NLPK02SGC0U1AABDLL56,2025-06-30,OV1,OV1,16,Securitisation exposures in the non-trading book (after the cap),Blueprint Parser,661.0,,0,34,2026-01-13 05:58:54,Alpha Bank,Default
85581,NLPK02SGC0U1AABDLL56,2025-06-30,OV1,OV1,17,Of which SEC-IRBA approach,Blueprint Parser,253.0,,0,34,2026-01-13 05:58:54,Alpha Bank,Default
85582,NLPK02SGC0U1AABDLL56,2025-06-30,OV1,OV1,18,Of which SEC-ERBA (including IAA),Blueprint Parser,253.0,,0,34,2026-01-13 05:58:54,Alpha Bank,Default
85583,NLPK02SGC0U1AABDLL56,2025-06-30,OV1,OV1,19,Of which SEC-SA approach,Blueprint Parser,408.0,,0,34,2026-01-13 05:58:54,Alpha Bank,Default
85584,NLPK02SGC0U1AABDLL56,2025-06-30,OV1,OV1,2,Of which the standardised approach,Blueprint Parser,25595.0,,0,34,2026-01-13 05:58:54,Alpha Bank,Default
85585,NLPK02SGC0U1AABDLL56,2025-06-30,OV1,OV1,20,"Position, foreign exchange and commodities risks (Market risk)",Blueprint Parser,452.0,,0,34,2026-01-13 05:58:54,Alpha Bank,Default
85586,NLPK02SGC0U1AABDLL56,2025-06-30,OV1,OV1,21,Of which the Alternative standardised approach (A-SA),Blueprint Parser,169.0,,0,35,2026-01-13 05:58:54,Alpha Bank,Default
85587,NLPK02SGC0U1AABDLL56,2025-06-30,OV1,OV1,24,Operational risk,Blueprint Parser,3630.0,,0,35,2026-01-13 05:58:54,Alpha Bank,Default
85588,NLPK02SGC0U1AABDLL56,2025-06-30,OV1,OV1,26,Output floor applied (%),Blueprint Parser,0.0,,0,35,2026-01-13 05:58:54,Alpha Bank,Default
85589,NLPK02SGC0U1AABDLL56,2025-06-30,OV1,OV1,28,Floor adjustment (after application of transitional cap),Blueprint Parser,30604.0,,0,35,2026-01-13 05:58:54,Alpha Bank,Default
85590,NLPK02SGC0U1AABDLL56,2025-06-30,OV1,OV1,29,Total,Blueprint Parser,30604.0,,0,35,2026-01-13 05:58:54,Alpha Bank,Default
85591,NLPK02SGC0U1AABDLL56,2025-06-30,OV1,OV1,6,Counterparty credit risk - CCR,Blueprint Parser,221.0,,0,34,2026-01-13 05:58:54,Alpha Bank,Default
85592,NLPK02SGC0U1AABDLL56,2025-06-30,OV1,OV1,7,Of which the standardised approach,Blueprint Parser,193.0,,0,34,2026-01-13 05:58:54,Alpha Bank,Default
85593,NLPK02SGC0U1AABDLL56,2025-06-30,OV1,OV1,EU 21a,Of which the Simplified standardised approach (S-SA),Blueprint Parser,169.0,,0,35,2026-01-13 05:58:54,Alpha Bank,Default
85594,NLPK02SGC0U1AABDLL56,2025-06-30,LR2,LR2,1,"On-balance sheet items (excluding derivatives, SFTs, but including collateral)",Blueprint Parser,70379.0,,0,41,2026-01-13 05:58:54,Alpha Bank,Default
85595,NLPK02SGC0U1AABDLL56,2025-06-30,LR2,LR2,12,(Adjusted effective notional offsets and add-on deductions for written credit derivatives),Blueprint Parser,1885.0,,0,42,2026-01-13 05:58:54,Alpha Bank,Default
85596,NLPK02SGC0U1AABDLL56,2025-06-30,LR2,LR2,13,Total derivatives exposures,Blueprint Parser,1885.0,,0,42,2026-01-13 05:58:54,Alpha Bank,Default
85597,NLPK02SGC0U1AABDLL56,2025-06-30,LR2,LR2,18,Total securities financing transaction exposures,Blueprint Parser,1247.0,,0,42,2026-01-13 05:58:54,Alpha Bank,Default
85598,NLPK02SGC0U1AABDLL56,2025-06-30,LR2,LR2,19,Off-balance sheet exposures at gross notional amount,Blueprint Parser,10836.0,,0,42,2026-01-13 05:58:54,Alpha Bank,Default
85599,NLPK02SGC0U1AABDLL56,2025-06-30,LR2,LR2,20,(Adjustments for conversion to credit equivalent amounts),Blueprint Parser,-7181.0,,0,42,2026-01-13 05:58:54,Alpha Bank,Default
85600,NLPK02SGC0U1AABDLL56,2025-06-30,LR2,LR2,21,(General provisions deducted in determining Tier 1 capital and specific provisions associated associated with off-balance sheet exposures),Blueprint Parser,429.0,,0,41,2026-01-13 05:58:54,Alpha Bank,Default
85601,NLPK02SGC0U1AABDLL56,2025-06-30,LR2,LR2,22,Off-balance sheet exposures,Blueprint Parser,10836.0,,0,42,2026-01-13 05:58:54,Alpha Bank,Default
85602,NLPK02SGC0U1AABDLL56,2025-06-30,LR2,LR2,23,Tier 1 capital,Blueprint Parser,74581.0,,0,43,2026-01-13 05:58:54,Alpha Bank,Default
85603,NLPK02SGC0U1AABDLL56,2025-06-30,LR2,LR2,24,Total exposure measure,Blueprint Parser,429.0,,0,41,2026-01-13 05:58:54,Alpha Bank,Default
85604,NLPK02SGC0U1AABDLL56,2025-06-30,LR2,LR2,26,Regulatory minimum leverage ratio requirement (%),Blueprint Parser,0.03,,0,43,2026-01-13 05:58:54,Alpha Bank,Default
85605,NLPK02SGC0U1AABDLL56,2025-06-30,LR2,LR2,27,Leverage ratio buffer requirement (%),Blueprint Parser,0.0,,0,43,2026-01-13 05:58:54,Alpha Bank,Default
85606,NLPK02SGC0U1AABDLL56,2025-06-30,LR2,LR2,3,(Deductions of receivables assets for cash variation margin provided in derivatives transactions),Blueprint Parser,228.0,,0,41,2026-01-13 05:58:54,Alpha Bank,Default
85607,NLPK02SGC0U1AABDLL56,2025-06-30,LR2,LR2,6,(Asset amounts deducted in determining Tier 1 capital),Blueprint Parser,2367.0,,0,42,2026-01-13 05:58:54,Alpha Bank,Default
85608,NLPK02SGC0U1AABDLL56,2025-06-30,LR2,LR2,7,Total on-balance sheet exposures (excluding derivatives and SFTs),Blueprint Parser,66452.0,,0,42,2026-01-13 05:58:54,Alpha Bank,Default
85609,NLPK02SGC0U1AABDLL56,2025-06-30,LR2,LR2,9,Add-on amounts for potential future exposure associated with SA-CCR derivatives transactions,Blueprint Parser,270.0,,0,42,2026-01-13 05:58:54,Alpha Bank,Default
85610,NLPK02SGC0U1AABDLL56,2025-06-30,LR2,LR2,EU-26a,Additional own funds requirements to address the risk of excessive leverage (%),Blueprint Parser,0.0,,0,43,2026-01-13 05:58:54,Alpha Bank,Default
85611,NLPK02SGC0U1AABDLL56,2025-06-30,LR2,LR2,EU-26b,of which: to be made up of CET1 capital,Blueprint Parser,0.0,,0,43,2026-01-13 05:58:54,Alpha Bank,Default
85612,NLPK02SGC0U1AABDLL56,2025-06-30,LR2,LR2,EU-27a,Overall leverage ratio requirement (%),Blueprint Parser,0.03,,0,43,2026-01-13 05:58:54,Alpha Bank,Default
