bank_name,lei,period,template_code,row_id,row_label,amount,eba_item_id,is_new_metric,source_page,source_file
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-06-30,CC2,1,"Property, plant and equipment",545000000.0,,1,31.0,2025-06-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-06-30,CC2,2,Intangible assets,396000000.0,2520110,0,31.0,2025-06-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-06-30,CC2,3,Deferred tax assets,4975000000.0,2520111,0,31.0,2025-06-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-06-30,CCR1,Total,Total,5378000000.0,2520703,0,69.0,2025-06-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-06-30,CCR1,5,Financial collateral simple method (SFTs),4319000000.0,,1,69.0,2025-06-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-06-30,CCR1,6,Financial collateral comprehensive method (SFTs),4319000000.0,,1,69.0,2025-06-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-06-30,CCR1,7,VaR for SFTs,5378000000.0,,1,69.0,2025-06-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-06-30,CQ7,Total,Total,680000000.0,,1,66.0,2025-06-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-06-30,CR1,1,Loans and advances,40266000000.0,2520603,0,56.0,2025-06-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-06-30,CR1,2,Debt securities,17391000000.0,2520602,0,56.0,2025-06-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-06-30,CR5,Total,Total,23718000000.0,,1,59.0,2025-06-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-06-30,IRRBB1,EU-1,1 Parallel up (462) (533) (134 (NII),-134000000.0,2525011,0,99.0,2025-06-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-06-30,IRRBB1,EU-2,2 Parallel down 377 291 (123) (NII),-123000000.0,2525012,0,99.0,2025-06-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-06-30,IRRBB1,1,1 Parallel up (462) (533) (134) (160),-462.0,,1,99.0,2025-06-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-06-30,IRRBB1,2,2 Parallel down 377 291 (123) (184),377.0,,1,99.0,2025-06-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-06-30,IRRBB1,3,3 Steepener (43) (63),-43.0,,1,99.0,2025-06-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-06-30,IRRBB1,4,4 Flattener (76) (124),-76.0,,1,99.0,2025-06-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-06-30,IRRBB1,5,5 Short rates up (211) (282),-211.0,,1,99.0,2025-06-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-06-30,IRRBB1,6,6 Short rates down 124 59,124.0,,1,99.0,2025-06-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-06-30,KM1,1,Common Equity Tier 1,7447000000.0,2520102,0,29.0,2025-06-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-06-30,KM1,2,Tier 1 capital,7447000000.0,2520133,0,29.0,2025-06-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-06-30,KM1,3,Total capital,6638000000.0,2520101,0,28.0,2025-06-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-06-30,KM1,4,Total risk exposure amount,30604000000.0,2520138,0,28.0,2025-06-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-06-30,KM1,4a,Total risk exposure pre-floor,30604000000.0,2520154,0,28.0,2025-06-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-06-30,KM1,5,Common Equity Tier 1 ratio,7447.0,2520146,0,29.0,2025-06-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-06-30,KM1,5b,Common Equity Tier 1 ratio,7447.0,2520146,0,29.0,2025-06-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-06-30,KM1,6,Tier 1 ratio,0.1837,2520147,0,28.0,2025-06-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-06-30,KM1,6b,Tier 1 ratio,0.1837,2520147,0,28.0,2025-06-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-06-30,KM1,7,Total capital ratio,0.2169,2520148,0,28.0,2025-06-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-06-30,KM1,7b,Total capital ratio,0.2169,2520148,0,28.0,2025-06-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-06-30,KM1,8,Capital conservation buffer,0.025,,1,28.0,2025-06-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-06-30,KM1,9,Countercyclical capital buffer,0.0021,,1,28.0,2025-06-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-06-30,KM1,11,Combined buffer requirement,0.0371,,1,28.0,2025-06-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-06-30,KM1,13,Leverage ratio total exposure measure,74581000000.0,2520903,0,28.0,2025-06-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-06-30,KM1,14,Leverage ratio,0.03,2520905,0,29.0,2025-06-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-06-30,KM1,17,Total net cash outflows,8379000000.0,,1,29.0,2025-06-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-06-30,KM1,20,NSFR ratio,1.23,,1,29.0,2025-06-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-06-30,LIQ1,EU-19a,TOTAL NET CASH OUTFLOWS,8379000000.0,2520922,0,103.0,2025-06-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-06-30,LIQ1,1,Total high-quality liquid assets (HQLA),370000000.0,2520911,0,103.0,2025-06-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-06-30,LIQ1,22,LIQUIDITY BUFFER,16156000000.0,2520925,0,103.0,2025-06-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-06-30,LIQ1,23,LIQUIDITY COVERAGE RATIO,1930000.0,2520926,0,103.0,2025-06-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-06-30,LIQ2,1,Capital items,7915000000.0,,1,203.0,2025-06-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-06-30,LIQ2,2,Own funds,7915000000.0,,1,203.0,2025-06-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-06-30,LIQ2,26,Total RSF,42124000000.0,,1,203.0,2025-06-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-06-30,LIQ2,27,NSFR Ratio,876.0,2520404,0,103.0,2025-06-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-06-30,LR2,20,Leverage Ratio,30062025.0,2520905,0,42.0,2025-06-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-06-30,LR2,23,Tier 1 capital,12000000.0,2520133,0,41.0,2025-06-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-06-30,LR2,24,Total exposure measure,30000000.0,2520903,0,42.0,2025-06-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-06-30,MR2,2,Movement in risk levels,38000000.0,,1,90.0,2025-06-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-06-30,MR2,4,Methodology and policy,-36000000.0,,1,90.0,2025-06-30_Alpha_Bank.pdf
Alpha Bank,NLPK02SGC0U1AABDLL56,2025-06-30,MR2,5,Acquisitions and disposals,-36000000.0,,1,90.0,2025-06-30_Alpha_Bank.pdf
