template_code,row_id,p3_label,eba_item_id,eba_label,category
CC1,1,Capital instruments and the related share premium accounts,2520103,Capital instruments eligible as CET1 Capital (including share premium and net own capital instruments),Capital
CC1,2,Retained earnings,2520104,Retained earnings,Capital
CC1,3,Accumulated other comprehensive income,2520105,Accumulated other comprehensive income,Capital
CC1,3a,Funds for general banking risk,-(Unmapped)-,,Capital
CC1,4,Other reserves,2520106,Other Reserves,Capital
CC1,5,Minority interests,2520108,Minority interest given recognition in CET1 capital,Capital
CC1,5a,Independently reviewed interim profits net of foreseeable charges or dividends,-(Unmapped)-,,Capital
CC1,6,Common Equity Tier 1 (CET1) capital before regulatory adjustments,-(Unmapped)-,,Capital
CC1,7,Additional value adjustments,2520109,Adjustments to CET1 due to prudential filters,Capital
CC1,8,Intangible assets,2520110,(-) Intangible assets (including Goodwill),Capital
CC1,9,Not applicable,-(Unmapped)-,,Capital
CC1,10,Deferred tax assets that rely on future profitability,2520111,(-) DTAs that rely on future profitability and do not arise from temporary differences net of associated DTLs,Capital
CC1,11,Fair value reserves related to gains or losses on cash flow hedges of financial instruments that are not valued at fair value,-(Unmapped)-,,Capital
CC1,12,Negative amounts resulting from the calculation of expected loss amounts,-(Unmapped)-,,Capital
CC1,13,Any increase in equity that results from securitised assets (negative amount),-(Unmapped)-,,Capital
CC1,14,Gains or losses on liabilities valued at fair value resulting from changes in own credit standing,-(Unmapped)-,,Capital
CC1,15,Defined-benefit pension fund assets (negative amount),-(Unmapped)-,,Capital
CC1,16,"Direct, indirect and synthetic holdings by an institution of own CET1 instruments (negative amount)",-(Unmapped)-,,Capital
CC1,17,"Direct, indirect and synthetic holdings of the CET 1 instruments of financial sector entities where those entities have reciprocal cross holdings with the institution designed to inflate artificially the own funds of the institution (negative amount)",-(Unmapped)-,,Capital
CC1,18,"Direct, indirect and synthetic holdings by the institution of the CET1 instruments of financial sector entities where the institution does not have a significant investment in those entities (amount above 10% threshold and net of eligible short positions) (negative amount)",-(Unmapped)-,,Capital
CC1,19,"Direct, indirect and synthetic holdings by the institution of the CET1 instruments of financial sector entities where the institution has a significant investment in those entities (amount above 10% threshold and net of eligible short positions) (negative amount)",-(Unmapped)-,,Capital
CC1,20,Not applicable,-(Unmapped)-,,Capital
