bank_name,period,row_id,amount,row_label
Alpha Bank,2025-06-30,1,4921.0,Common Equity Tier 1
Alpha Bank,2025-06-30,2,5621.0,Tier 1 capital
Alpha Bank,2025-06-30,3,6638.0,Total capital
Alpha Bank,2025-06-30,4,30604.0,Total risk exposure amount
Alpha Bank,2025-09-30,1,4959.0,Common Equity Tier 1
Alpha Bank,2025-09-30,2,5659.0,Tier 1 capital
Alpha Bank,2025-09-30,3,6664.0,Total capital
Alpha Bank,2025-09-30,4,30985.0,Total risk exposure amount
Eurobank,2025-06-30,1,7932.0,Common Equity Tier 1
Eurobank,2025-06-30,2,8427.0,Tier 1 capital
Eurobank,2025-06-30,3,10132.0,Total capital
Eurobank,2025-06-30,4,51720.0,Total risk exposure amount
Eurobank,2025-09-30,1,8049.0,Common Equity Tier 1
Eurobank,2025-09-30,2,8544.0,Tier 1 capital
Eurobank,2025-09-30,3,9775.0,Total capital
Eurobank,2025-09-30,4,51836.0,Total risk exposure amount
NBG,2025-06-30,1,7207.0,Common Equity Tier 1
NBG,2025-06-30,2,7207.0,Tier 1 capital
NBG,2025-06-30,3,8251.0,Total capital
NBG,2025-06-30,4,38074.0,Total risk exposure amount
NBG,2025-09-30,1,7224.0,Common Equity Tier 1
NBG,2025-09-30,2,7224.0,Tier 1 capital
NBG,2025-09-30,3,8279.0,Total capital
NBG,2025-09-30,4,38193.0,Total risk exposure amount
Piraeus,2025-06-30,1,5124.956,Common Equity Tier 1
Piraeus,2025-06-30,2,6124.956,Tier 1 capital
Piraeus,2025-06-30,3,7297.772,Total capital
Piraeus,2025-06-30,4,36118.554000000004,Total risk exposure amount
